,empresa,indicador,valor,na,nd,criterio,peso_especifica,peso_geral,criterio_desempate,sub_indicador,calculado,direcao_indicador
820,ELEKTRO,DEC DESVIO,0.91095066,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
821,ENEL CE,DEC DESVIO,1.626601,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
822,ENEL GO,DEC DESVIO,1.3181114,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
823,ENEL RJ,DEC DESVIO,1.1062992,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
824,ENEL SP,DEC DESVIO,1.0162162,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
825,ENERGISA MS,DEC DESVIO,0.8695652,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
826,ENERGISA MT,DEC DESVIO,0.8141593,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
827,ENERGISA PB,DEC DESVIO,0.89041954,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
828,ENERGISA RO,DEC DESVIO,1.3005464,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
829,ENERGISA SE,DEC DESVIO,0.87717843,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
830,ENERGISA SS,DEC DESVIO,0.65257597,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
831,ENERGISA TO,DEC DESVIO,0.7643312,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
832,EQTL ALAGOAS,DEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
833,EQTL MARANHÃO,DEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
834,EQTL PARÁ,DEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
835,EQTL PIAUÍ,DEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
836,LIGHT,DEC DESVIO,0.80312127,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
837,NEOENERGIA BRASÍLIA,DEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
838,RGE,DEC DESVIO,0.9721724,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
839,AMAZONAS ENERGIA,DEC EVOLUCAO,,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
840,CEEE,DEC EVOLUCAO,6.6849313,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
841,CELESC,DEC EVOLUCAO,-15.356152,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
842,CELPE,DEC EVOLUCAO,9.754029,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
843,CEMIG,DEC EVOLUCAO,-9.280303,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
844,COELBA,DEC EVOLUCAO,3.220339,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
845,COPEL,DEC EVOLUCAO,-14.175824,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
846,COSERN,DEC EVOLUCAO,-10.130391,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
847,CPFL PAULISTA,DEC EVOLUCAO,1.1922504,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
848,CPFL PIRATININGA,DEC EVOLUCAO,-10.046368,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
849,EDP ES,DEC EVOLUCAO,-2.8465347,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
850,EDP SP,DEC EVOLUCAO,2.5787966,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
851,ELEKTRO,DEC EVOLUCAO,0.807537,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
852,ENEL CE,DEC EVOLUCAO,17.132616,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
853,ENEL GO,DEC EVOLUCAO,-28.697184,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
854,ENEL RJ,DEC EVOLUCAO,-18.683813,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
855,ENEL SP,DEC EVOLUCAO,18.22504,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
856,ENERGISA MS,DEC EVOLUCAO,-7.4142723,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
857,ENERGISA MT,DEC EVOLUCAO,-12.367491,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
858,ENERGISA PB,DEC EVOLUCAO,4.1853514,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
859,ENERGISA RO,DEC EVOLUCAO,-25.026783,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
860,ENERGISA SE,DEC EVOLUCAO,-0.4708098,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
861,ENERGISA SS,DEC EVOLUCAO,-14.535902,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
862,ENERGISA TO,DEC EVOLUCAO,-16.27907,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
863,EQTL ALAGOAS,DEC EVOLUCAO,,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
864,EQTL MARANHÃO,DEC EVOLUCAO,,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
865,EQTL PARÁ,DEC EVOLUCAO,,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
866,EQTL PIAUÍ,DEC EVOLUCAO,,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
867,LIGHT,DEC EVOLUCAO,-15.315315,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
868,NEOENERGIA BRASÍLIA,DEC EVOLUCAO,,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
869,RGE,DEC EVOLUCAO,-23.216885,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
715,AMAZONAS ENERGIA,DEC INTERNO,,0.0,1.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
716,CEEE,DEC INTERNO,19.47,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
717,CELESC,DEC INTERNO,9.15,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
718,CELPE,DEC INTERNO,12.94,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
719,CEMIG,DEC INTERNO,9.58,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
720,COELBA,DEC INTERNO,12.18,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
721,COPEL,DEC INTERNO,7.81,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
722,COSERN,DEC INTERNO,8.96,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
723,CPFL PAULISTA,DEC INTERNO,6.79,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
724,CPFL PIRATININGA,DEC INTERNO,5.82,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
725,EDP ES,DEC INTERNO,7.85,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
726,EDP SP,DEC INTERNO,7.16,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
727,ELEKTRO,DEC INTERNO,7.49,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
728,ENEL CE,DEC INTERNO,16.34,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
729,ENEL GO,DEC INTERNO,16.2,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
730,ENEL RJ,DEC INTERNO,10.75,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
731,ENEL SP,DEC INTERNO,7.46,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
732,ENERGISA MS,DEC INTERNO,9.99,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
733,ENERGISA MT,DEC INTERNO,17.36,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
734,ENERGISA PB,DEC INTERNO,13.94,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
735,ENERGISA RO,DEC INTERNO,34.99,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
736,ENERGISA SE,DEC INTERNO,10.57,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
737,ENERGISA SS,DEC INTERNO,4.88,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
738,ENERGISA TO,DEC INTERNO,18.0,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
739,EQTL ALAGOAS,DEC INTERNO,,0.0,1.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
740,EQTL MARANHÃO,DEC INTERNO,,0.0,1.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
741,EQTL PARÁ,DEC INTERNO,,0.0,1.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
742,EQTL PIAUÍ,DEC INTERNO,,0.0,1.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
743,LIGHT,DEC INTERNO,6.58,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
744,NEOENERGIA BRASÍLIA,DEC INTERNO,,0.0,1.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
745,RGE,DEC INTERNO,10.55,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
684,AMAZONAS ENERGIA,DEC INTERNO ANTERIOR,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
685,CEEE,DEC INTERNO ANTERIOR,18.25,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
686,CELESC,DEC INTERNO ANTERIOR,10.81,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
687,CELPE,DEC INTERNO ANTERIOR,11.79,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
688,CEMIG,DEC INTERNO ANTERIOR,10.56,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
689,COELBA,DEC INTERNO ANTERIOR,11.8,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
690,COPEL,DEC INTERNO ANTERIOR,9.1,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
691,COSERN,DEC INTERNO ANTERIOR,9.97,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
692,CPFL PAULISTA,DEC INTERNO ANTERIOR,6.71,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
693,CPFL PIRATININGA,DEC INTERNO ANTERIOR,6.47,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
694,EDP ES,DEC INTERNO ANTERIOR,8.08,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
695,EDP SP,DEC INTERNO ANTERIOR,6.98,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
696,ELEKTRO,DEC INTERNO ANTERIOR,7.43,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
697,ENEL CE,DEC INTERNO ANTERIOR,13.95,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
698,ENEL GO,DEC INTERNO ANTERIOR,22.72,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
699,ENEL RJ,DEC INTERNO ANTERIOR,13.22,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
700,ENEL SP,DEC INTERNO ANTERIOR,6.31,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
701,ENERGISA MS,DEC INTERNO ANTERIOR,10.79,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
702,ENERGISA MT,DEC INTERNO ANTERIOR,19.81,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
703,ENERGISA PB,DEC INTERNO ANTERIOR,13.38,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
704,ENERGISA RO,DEC INTERNO ANTERIOR,46.67,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
705,ENERGISA SE,DEC INTERNO ANTERIOR,10.62,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
706,ENERGISA SS,DEC INTERNO ANTERIOR,5.71,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
707,ENERGISA TO,DEC INTERNO ANTERIOR,21.5,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
708,EQTL ALAGOAS,DEC INTERNO ANTERIOR,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
709,EQTL MARANHÃO,DEC INTERNO ANTERIOR,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
710,EQTL PARÁ,DEC INTERNO ANTERIOR,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
711,EQTL PIAUÍ,DEC INTERNO ANTERIOR,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
712,LIGHT,DEC INTERNO ANTERIOR,7.77,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
713,NEOENERGIA BRASÍLIA,DEC INTERNO ANTERIOR,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
714,RGE,DEC INTERNO ANTERIOR,13.74,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
186,AMAZONAS ENERGIA,EFICIENCIA CAPITAL GIRO,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
187,CEEE,EFICIENCIA CAPITAL GIRO,,1.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
188,CELESC,EFICIENCIA CAPITAL GIRO,1.112222,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
189,CELPE,EFICIENCIA CAPITAL GIRO,1.0048251,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
190,CEMIG,EFICIENCIA CAPITAL GIRO,2.3816202,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
191,COELBA,EFICIENCIA CAPITAL GIRO,0.7035639,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
192,COPEL,EFICIENCIA CAPITAL GIRO,0.8530176,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
193,COSERN,EFICIENCIA CAPITAL GIRO,0.83449477,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
194,CPFL PAULISTA,EFICIENCIA CAPITAL GIRO,1.287012,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
195,CPFL PIRATININGA,EFICIENCIA CAPITAL GIRO,0.7076989,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
