iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
22,0.025043525349534548,0.025043525349534548,0.009191449220740541,[0.         0.         0.         0.         0.82289814 0.         0.         0.02326179 0.         0.         0.         0.         0.         0.         0.         0.02827067 0.         0.         0.01177232 0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
23,0.0243316819922662,0.0243316819922662,0.009205208572102098,[0.         0.         0.         0.         0.82522432 0.         0.         0.02093561 0.         0.         0.         0.         0.         0.         0.         0.02827067 0.         0.         0.01177232 0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
24,0.0243316819922662,0.0243316819922662,0.009205208572102098,[0.         0.         0.         0.         0.82522432 0.         0.         0.02093561 0.         0.         0.         0.         0.         0.         0.         0.02827067 0.         0.         0.01177232 0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
25,0.023701711870268722,0.023701711870268722,0.00923552604197071,[0.         0.         0.         0.         0.82805139 0.         0.         0.02093561 0.         0.         0.         0.         0.         0.         0.         0.02544361 0.         0.         0.01177232 0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
26,0.02352433716752566,0.02352433716752566,0.009225458104755503,[0.         0.         0.         0.         0.82805139 0.         0.         0.01884205 0.         0.         0.         0.         0.         0.         0.         0.02753717 0.         0.         0.01177232 0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
27,0.02324100657801326,0.02324100657801326,0.00921939182743518,[0.         0.         0.         0.         0.82805139 0.         0.         0.01884205 0.         0.         0.         0.         0.         0.         0.         0.0287144  0.         0.         0.01059509 0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
28,0.020222050469144534,0.020222050469144534,0.00918423142394125,[0.         0.         0.         0.         0.82805139 0.         0.         0.01884205 0.         0.         0.01       0.         0.         0.         0.         0.0287144  0.         0.         0.         0.         0.         0.         0.         0.01801307 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
29,0.015576580972154933,0.015576580972154933,0.009132515202044925,[0.         0.         0.         0.         0.82805139 0.         0.         0.01884205 0.         0.         0.         0.         0.         0.         0.         0.0287144  0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
30,0.008092474258135104,0.008092474258135104,0.009091456471719321,[0.         0.         0.         0.         0.82805139 0.         0.         0.01884205 0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
31,0.007182967939800567,0.007182967939800567,0.00911342647171932,[0.         0.         0.         0.         0.82805139 0.         0.         0.01884205 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
32,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
33,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
34,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
35,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
36,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
37,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
38,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
39,0.006618016604797253,0.006618016604797253,0.009124571546322182,[0.         0.         0.         0.         0.82993559 0.         0.         0.01695785 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
40,0.006107327589589623,0.006107327589589623,0.009134602113464757,[0.         0.         0.         0.         0.83163138 0.         0.         0.01526206 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01       0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
41,0.005854542150466084,0.005854542150466084,0.009130615662536819,[0.         0.         0.         0.         0.83163138 0.         0.         0.01373586 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01152621 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
42,0.005438243075459964,0.005438243075459964,0.009138740421922302,[0.         0.         0.         0.         0.83300496 0.         0.         0.01236227 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01152621 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
43,0.005438243075459964,0.005438243075459964,0.009138740421922302,[0.         0.         0.         0.         0.83300496 0.         0.         0.01236227 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01152621 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
44,0.005438243075459964,0.005438243075459964,0.009138740421922302,[0.         0.         0.         0.         0.83300496 0.         0.         0.01236227 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01152621 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
45,0.005231512537369355,0.005231512537369355,0.009135511396670671,[0.         0.         0.         0.         0.83300496 0.         0.         0.01112604 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01276243 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
46,0.005056904238539411,0.005056904238539411,0.009146393923676154,[0.         0.         0.         0.         0.83428121 0.         0.         0.01112604 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01148619 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
47,0.005056904238539411,0.005056904238539411,0.009146393923676154,[0.         0.         0.         0.         0.83428121 0.         0.         0.01112604 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.01148619 0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
