iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
21,0.1856310263317089,0.1856310263317089,0.003992691061,[0.         0.         0.         0.         0.27861929 0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
22,0.1856310263317089,0.1856310263317089,0.003992691061,[0.         0.         0.         0.         0.27861929 0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
23,0.1856310263317089,0.18828289813644758,0.003992691061,[0.         0.         0.         0.         0.27861929 0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
24,0.1856310263317089,0.19093476994118627,0.003992691061,[0.         0.         0.         0.         0.27861929 0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
25,0.1856310263317089,0.193586641745925,0.003992691061,[0.         0.         0.         0.         0.27861929 0.         0.         0.         0.         0.         0.121035   0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
26,0.1853792004447607,0.1959866876637155,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
27,0.1853792004447607,0.1853792004447607,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
28,0.1853792004447607,0.1880274747368287,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
29,0.1853792004447607,0.19067574902889672,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
30,0.1853792004447607,0.1933240233209647,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11862542 0.121035   0.         0.         0.         0.         0.         0.         0.11982564 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
31,0.18531305404442128,0.1959061512126933,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.12101189 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
32,0.18531305404442128,0.18531305404442128,0.003992691061,[0.         0.         0.         0.         0.27982964 0.         0.         0.         0.         0.         0.11982465 0.         0.         0.         0.         0.         0.         0.121035   0.         0.11982465 0.11743917 0.121035   0.         0.         0.         0.         0.         0.         0.12101189 0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
