,iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
31,31,TID,True,0.07119534963974815,0.003064266300132792,10,[0.01172395 0.01012687 0.24561555 0.01047438 0.01120467 0.01096489 0.01205808 0.66627314 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,285,0.798416,100,1000,0.01,0.003,1,10,10,best,42,best
32,32,TID,True,0.07084633547400516,0.0030589831096051083,10,[0.01172395 0.01012687 0.2431594  0.01047438 0.01120467 0.01096489 0.01205808 0.6687293  0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,304,0.814266,100,1000,0.01,0.003,1,10,10,best,42,best
33,33,TID,True,0.07049730967075825,0.003053752750982702,10,[0.01172395 0.01012687 0.2407278  0.01047438 0.01120467 0.01096489 0.01205808 0.67116089 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,310,0.786913,100,1000,0.01,0.003,1,10,10,best,42,best
34,34,TID,True,0.07014834203178776,0.00304857469594652,10,[0.01172395 0.01012687 0.23832052 0.01047438 0.01120467 0.01096489 0.01205808 0.67356817 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,286,0.786108,100,1000,0.01,0.003,1,10,10,best,42,best
35,35,TID,True,0.06979950027411663,0.0030434484214606995,10,[0.01172395 0.01012687 0.23593732 0.01047438 0.01120467 0.01096489 0.01205808 0.67595138 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,298,0.77853,100,1000,0.01,0.003,1,10,10,best,42,best
36,36,TID,True,0.06945085007845424,0.0030383734097197373,10,[0.01172395 0.01012687 0.23357795 0.01047438 0.01120467 0.01096489 0.01205808 0.67831075 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,299,0.794874,100,1000,0.01,0.003,1,10,10,best,42,best
37,37,TID,True,0.06910245513660623,0.003033349148096185,10,[0.01172395 0.01012687 0.23124217 0.01047438 0.01120467 0.01096489 0.01205808 0.68064653 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,327,0.803806,100,1000,0.01,0.003,1,10,10,best,42,best
38,38,TID,True,0.06875437719787256,0.003028375129088868,10,[0.01172395 0.01012687 0.22892975 0.01047438 0.01120467 0.01096489 0.01205808 0.68295895 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,299,0.811309,100,1000,0.01,0.003,1,10,10,best,42,best
39,39,TID,True,0.06840667611445349,0.003023450850271624,10,[0.01172395 0.01012687 0.22664045 0.01047438 0.01120467 0.01096489 0.01205808 0.68524825 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,290,0.781349,100,1000,0.01,0.003,1,10,10,best,42,best
40,40,TID,True,0.06805940988588492,0.0030185758142425526,10,[0.01172395 0.01012687 0.22437404 0.01047438 0.01120467 0.01096489 0.01205808 0.68751465 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,303,0.797098,100,1000,0.01,0.003,1,10,10,best,42,best
41,41,iDR,True,0.06771122192693096,0.0030139287053588216,10,[0.0116439  0.01005772 0.22284197 0.01040286 0.01112816 0.01089002 0.01197575 0.68964836 0.01011387 0.01129739],[ 4  8 12 13 16 18 25 27 29 30],1000,294,0.773302,100,1000,0.01,0.003,1,10,10,best,42,best
42,42,TID,True,0.0673646830361248,0.003009135374541709,10,[0.0116439  0.01005772 0.22061355 0.01040286 0.01112816 0.01089002 0.01197575 0.69187678 0.01011387 0.01129739],[ 4  8 12 13 16 18 25 27 29 30],1000,262,0.739648,100,1000,0.01,0.003,1,10,10,best,42,best
43,43,TID,True,0.06701872702295117,0.0030043899770327664,10,[0.0116439  0.01005772 0.21840742 0.01040286 0.01112816 0.01089002 0.01197575 0.69408292 0.01011387 0.01129739],[ 4  8 12 13 16 18 25 27 29 30],1000,288,0.722898,100,1000,0.01,0.003,1,10,10,best,42,best
44,44,idID,True,0.06674374595507745,0.003025595204863441,10,[0.01165705 0.01006908 0.01001129 0.21865409 0.01041461 0.01090232 0.01198927 0.69486684 0.01012529 0.01131015],[ 4  8 10 12 13 18 25 27 29 30],1000,247,0.735889,100,1000,0.01,0.003,1,10,10,best,42,best
45,45,TID,True,0.06639356815523366,0.0030208919552884668,10,[0.01165705 0.01006908 0.01001129 0.21646755 0.01041461 0.01090232 0.01198927 0.69705339 0.01012529 0.01131015],[ 4  8 10 12 13 18 25 27 29 30],1000,314,0.722191,100,1000,0.01,0.003,1,10,10,best,42,best
46,46,TID,True,0.06604411694635312,0.003016235738209242,10,[0.01165705 0.01006908 0.01001129 0.21430288 0.01041461 0.01090232 0.01198927 0.69921806 0.01012529 0.01131015],[ 4  8 10 12 13 18 25 27 29 30],1000,324,0.694742,100,1000,0.01,0.003,1,10,10,best,42,best
