,iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,neighbour_strategy,seed,selection_strategy
55,55,iDR,True,0.15237661837067654,0.00319455811735589,12,"[0.11447791 0.02694933 0.09176332 0.08164385 0.0523123  0.03674713
 0.10987978 0.03409604 0.04622014 0.04936938 0.33714716 0.01939367]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009339,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
56,56,iDR,True,0.15117392977636,0.003185981283010519,12,"[0.11333162 0.02667948 0.09084448 0.08082633 0.05178849 0.03637917
 0.10877954 0.03375463 0.04575733 0.04887504 0.34378439 0.01919948]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009422,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
57,57,iDR,True,0.14995345678500818,0.0031773248791845594,12,"[0.11217471 0.02640713 0.08991712 0.08000124 0.05125982 0.0360078
 0.10766909 0.03341006 0.04529023 0.04837611 0.35048321 0.01900349]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009092,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
58,58,iDR,True,0.14871540258507604,0.003168591626718065,12,"[0.11100752 0.02613236 0.08898152 0.07916882 0.05072645 0.03563314
 0.10654878 0.03306242 0.04481898 0.04787275 0.35724149 0.01880576]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009271,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
59,59,iDR,True,0.1474599938110147,0.003159784362683567,12,"[0.10983044 0.02585527 0.088038   0.07832934 0.05018857 0.0352553
 0.10541898 0.03271184 0.04434374 0.04736513 0.36405704 0.01860635]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.0108,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
60,60,iDR,True,0.1461874807875262,0.0031509060376262716,12,"[0.10864386 0.02557593 0.08708686 0.0774831  0.04964635 0.03487441
 0.10428006 0.03235843 0.04386466 0.04685341 0.37092759 0.01840533]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.011361,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
61,61,iDR,True,0.14489813771406534,0.0031419597124541375,12,"[0.1074482  0.02529446 0.08612844 0.07663037 0.04909997 0.03449061
 0.10313242 0.03200232 0.04338191 0.04633777 0.37785076 0.01820277]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.011362,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
62,62,iDR,True,0.14359226278666956,0.0031329485549808746,12,"[0.10624387 0.02501095 0.08516307 0.07577146 0.04854964 0.03410402
 0.10197647 0.03164362 0.04289567 0.04581839 0.3848241  0.01799875]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.011358,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
63,63,iDR,True,0.142270178254425,0.003123875836126696,12,"[0.10503131 0.0247255  0.08419111 0.07490668 0.04799554 0.03371479
 0.10081261 0.03128247 0.0424061  0.04529547 0.39184508 0.01779333]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.011168,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
64,64,iDR,True,0.14093223040813493,0.003114744925783437,12,"[0.10381098 0.02443822 0.08321291 0.07403636 0.04743789 0.03332307
 0.09964129 0.03091901 0.0419134  0.04476919 0.39891109 0.01758659]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.011218,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
65,65,iDR,True,0.13957878949903763,0.0031055592883524477,12,"[0.10258333 0.02414922 0.08222885 0.07316082 0.0468769  0.032929
 0.09846296 0.03055337 0.04141774 0.04423976 0.40601946 0.01737862]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.01115,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
66,66,iDR,True,0.13821024958573422,0.0030963224779654683,12,"[0.10134884 0.02385861 0.08123931 0.0722804  0.04631278 0.03253273
 0.09727805 0.03018569 0.04091931 0.04370738 0.41316742 0.01716948]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.010929,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
67,67,iDR,True,0.1368270283078188,0.003087038133400427,12,"[0.100108   0.0235665  0.08024467 0.07139545 0.04574576 0.03213442
 0.09608705 0.02981612 0.04041833 0.04317226 0.42035217 0.01695927]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.010838,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
68,68,iDR,True,0.1354295665850643,0.0030777099727058873,12,"[0.0988613  0.02327301 0.07924535 0.07050633 0.04517607 0.03173423
 0.09489043 0.0294448  0.03991498 0.04263461 0.42757082 0.01674807]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.010399,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
69,69,iDR,True,0.1340183282413925,0.003068341787549507,12,"[0.09760925 0.02297827 0.07824173 0.06961339 0.04460393 0.03133233
 0.09368867 0.02907189 0.03940947 0.04209466 0.43482045 0.01653596]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.010246,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
70,70,iDR,True,0.13259379955325273,0.0030589374373075043,12,"[0.09635237 0.02268238 0.07723424 0.068717   0.04402958 0.03092888
 0.09248228 0.02869754 0.03890201 0.04155262 0.44209807 0.01632303]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.00926,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
71,71,iDR,True,0.13115648872244662,0.003049500842913676,12,"[0.09509119 0.02238549 0.07622329 0.06781754 0.04345326 0.03052404
 0.09127175 0.02832191 0.03839281 0.04100872 0.44940063 0.01610937]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009315,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
72,72,iDR,True,0.12970692527385447,0.0030400359804879503,12,"[0.09382622 0.0220877  0.07520932 0.06691539 0.04287522 0.03011799
 0.09005759 0.02794515 0.03788208 0.0404632  0.45672508 0.01589508]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009706,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
73,73,iDR,True,0.12824565937895058,0.0030305468747657896,12,"[0.09255801 0.02178915 0.07419275 0.06601092 0.04229569 0.02971089
 0.08884032 0.02756743 0.03737004 0.03991628 0.46406828 0.01568023]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009179,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
74,74,iDR,True,0.12677326110642928,0.00302103759235099,12,"[0.09128711 0.02148997 0.07317402 0.06510453 0.04171493 0.02930294
 0.08762046 0.02718891 0.03685692 0.03936819 0.4714271  0.01546493]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009313,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
75,75,iDR,True,0.1252903196016969,0.0030115122348155395,12,"[0.09001406 0.02119028 0.07215356 0.06419661 0.0411332  0.02889429
 0.08639854 0.02680974 0.03634293 0.03881918 0.47879835 0.01524926]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009169,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
76,76,iDR,True,0.12379744219741678,0.0030019749316710902,12,"[0.08873941 0.02089021 0.07113183 0.06328755 0.04055073 0.02848513
 0.08517509 0.0264301  0.03582829 0.03826948 0.48617886 0.01503332]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009033,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
77,77,iDR,True,0.12229525345772037,0.0029924298332374903,12,"[0.08746372 0.0205899  0.07010926 0.06237775 0.03996778 0.02807564
 0.08395064 0.02605015 0.03531324 0.03771933 0.49356539 0.01481721]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009072,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
