iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,selection_strategy,tag,X,Z,gls_iter,gls_improve
46,TID,True,0.054482,0.00100027469305873,7,7,1000,220,0.53633,100,1000,0.1,0.001,5,15,best,best,gls,"[0.013857855516000002, 0.021730622489999997, 0.835809035339, 0.012158189099999998, 0.05632981660400001, 0.032954, 0.027162480951]","[7, 11, 16, 22, 25, 28, 30]",0,False
47,TID,True,0.05418,0.0010004412602494,7,7,1000,226,0.53475,100,1000,0.1,0.001,5,15,best,best,gls,"[0.013857855516000002, 0.021730622489999997, 0.835809035339, 0.010942370189999998, 0.05754563551400001, 0.032954, 0.027162480951]","[7, 11, 16, 22, 25, 28, 30]",0,False
48,TID,True,0.051547,0.00105814358464476,7,7,1000,207,0.531323,100,1000,0.1,0.001,5,15,best,best,gls,"[0.01, 0.013857855516000002, 0.021730622489999997, 0.835809035339, 0.05754563551400001, 0.032954, 0.027162480951]","[4, 7, 11, 16, 25, 28, 30]",0,False
49,TID,True,0.050377,0.00103990354564476,7,7,1000,327,0.526927,100,1000,0.1,0.001,5,15,best,best,gls,"[0.01, 0.013857855516000002, 0.021730622489999997, 0.8391044353389999, 0.05754563551400001, 0.029658599999999997, 0.027162480951]","[4, 7, 11, 16, 25, 28, 30]",0,False
50,TID,True,0.049315,0.0010139447094643947,7,7,1000,258,0.540014,100,1000,0.1,0.001,5,15,best,best,gls,"[0.01, 0.013857855516000002, 0.021730622489999997, 0.8448589988904, 0.05179107196260001, 0.029658599999999997, 0.027162480951]","[4, 7, 11, 16, 25, 28, 30]",0,False
51,TID,True,0.048411,0.0010032532431993146,7,7,1000,269,0.531735,100,1000,0.1,0.001,5,15,best,best,gls,"[0.01, 0.013857855516000002, 0.019557560240999996, 0.8470320611394, 0.05179107196260001, 0.029658599999999997, 0.027162480951]","[4, 7, 11, 16, 25, 28, 30]",0,False
52,iDR,True,0.047844,0.001000446627,7,7,1000,256,0.494071,100,1000,0.1,0.001,5,15,best,best,gls,"[0.010037, 0.013909, 0.019629, 0.850141, 0.051981, 0.029767, 0.024536]","[4, 7, 11, 16, 25, 28, 30]",0,False
53,TID,True,0.047426,0.0010154730086,7,7,1000,227,0.515083,100,1000,0.1,0.001,5,15,best,best,gls,"[0.013013700000000001, 0.013909, 0.019629, 0.850141, 0.051981, 0.0267903, 0.024536]","[4, 7, 11, 16, 25, 28, 30]",0,False
54,TID,True,0.046455,0.0010006445775500002,7,7,1000,292,0.57741,100,1000,0.1,0.001,5,15,best,best,gls,"[0.013013700000000001, 0.013909, 0.019629, 0.8528200300000001, 0.051981, 0.02411127, 0.024536]","[4, 7, 11, 16, 25, 28, 30]",0,False
55,TID,True,0.046065,0.0010117604802500001,7,7,1000,214,0.51755,100,1000,0.1,0.001,5,15,best,best,gls,"[0.014976600000000001, 0.013909, 0.0176661, 0.8528200300000001, 0.051981, 0.02411127, 0.024536]","[4, 7, 11, 16, 25, 28, 30]",0,False
56,iDR,True,0.045286,0.001000154907,7,7,1000,269,0.556382,100,1000,0.1,0.001,5,15,best,best,gls,"[0.015013, 0.013943, 0.017709, 0.854881, 0.052107, 0.021753, 0.024595]","[4, 7, 11, 16, 25, 28, 30]",0,False
57,TID,True,0.044931,0.0010101835136999999,7,7,1000,205,0.50847,100,1000,0.1,0.001,5,15,best,best,gls,"[0.0167839, 0.013943, 0.0159381, 0.854881, 0.052107, 0.021753, 0.024595]","[4, 7, 11, 16, 25, 28, 30]",0,False
